problem,model,data_file
icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/1TrainOrigin.dzn:icaps21/1TrainOrigin-warmstart.json
icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/1TrainDestination.dzn:icaps21/1TrainDestination-warmstart.json
icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/1TrainNoStop.dzn:icaps21/1TrainNoStop-warmstart.json
icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/1TrainStop.dzn:icaps21/1TrainStop-warmstart.json
icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/3Trains_2Stop_1Destination.dzn:icaps21/3Trains_2Stop_1Destination-warmstart.json
icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/4Trains_2Stop_1Origin_1Destination.dzn:icaps21/4Trains_2Stop_1Origin_1Destination-warmstart.json
icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/2TrainStop.dzn:icaps21/2TrainStop-warmstart.json
icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/5Trains.dzn:icaps21/5Trains-warmstart.json
icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/3TrainStop.dzn:icaps21/3TrainStop-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t010-02.dzn:cp2025/t010-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t045-03.dzn:cp2025/t045-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t002-02.dzn:cp2025/t002-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t012-06.dzn:cp2025/t012-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t002-03.dzn:cp2025/t002-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t045-02.dzn:cp2025/t045-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t010-03.dzn:cp2025/t010-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t010-01.dzn:cp2025/t010-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t002-01.dzn:cp2025/t002-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t012-04.dzn:cp2025/t012-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t012-05.dzn:cp2025/t012-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t045-01.dzn:cp2025/t045-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t010-04.dzn:cp2025/t010-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t002-04.dzn:cp2025/t002-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t012-01.dzn:cp2025/t012-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t002-05.dzn:cp2025/t002-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t010-05.dzn:cp2025/t010-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t012-02.dzn:cp2025/t012-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t012-03.dzn:cp2025/t012-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t002-06.dzn:cp2025/t002-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t010-06.dzn:cp2025/t010-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t014-05.dzn:cp2025/t014-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t018-05.dzn:cp2025/t018-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t020-01.dzn:cp2025/t020-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t006-05.dzn:cp2025/t006-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t008-01.dzn:cp2025/t008-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t006-04.dzn:cp2025/t006-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t018-04.dzn:cp2025/t018-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t016-01.dzn:cp2025/t016-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t014-04.dzn:cp2025/t014-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t004-01.dzn:cp2025/t004-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t004-03.dzn:cp2025/t004-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t014-06.dzn:cp2025/t014-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t016-03.dzn:cp2025/t016-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t018-06.dzn:cp2025/t018-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t020-02.dzn:cp2025/t020-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t006-06.dzn:cp2025/t006-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t008-03.dzn:cp2025/t008-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t008-02.dzn:cp2025/t008-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t020-03.dzn:cp2025/t020-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t016-02.dzn:cp2025/t016-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t004-02.dzn:cp2025/t004-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t022-02.dzn:cp2025/t022-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t004-06.dzn:cp2025/t004-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t014-03.dzn:cp2025/t014-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t030-02.dzn:cp2025/t030-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t018-03.dzn:cp2025/t018-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t016-06.dzn:cp2025/t016-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t008-06.dzn:cp2025/t008-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t006-03.dzn:cp2025/t006-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t006-02.dzn:cp2025/t006-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t018-02.dzn:cp2025/t018-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t030-03.dzn:cp2025/t030-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t014-02.dzn:cp2025/t014-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t022-03.dzn:cp2025/t022-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t022-01.dzn:cp2025/t022-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t004-05.dzn:cp2025/t004-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t030-01.dzn:cp2025/t030-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t016-05.dzn:cp2025/t016-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t008-05.dzn:cp2025/t008-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t006-01.dzn:cp2025/t006-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t008-04.dzn:cp2025/t008-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t016-04.dzn:cp2025/t016-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t018-01.dzn:cp2025/t018-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t014-01.dzn:cp2025/t014-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t004-04.dzn:cp2025/t004-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t035-01.dzn:cp2025/t035-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t013-05.dzn:cp2025/t013-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t001-05.dzn:cp2025/t001-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t001-04.dzn:cp2025/t001-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t011-01.dzn:cp2025/t011-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t013-04.dzn:cp2025/t013-04-warmstart.json
