problem,model,data_file
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t002-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t002-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t003-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t003-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t003-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t004-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t004-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t004-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t004-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t004-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t005-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t005-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t005-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t006-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t006-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t006-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t006-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t006-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t006-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t007-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t007-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t007-03.dzn
