data_file,status,time,v_makespan,v_end_sum
cp2025/t001-01.dzn,SATISFIED,0.125,350,350
cp2025/t001-02.dzn,SATISFIED,0.099,334,334
cp2025/t001-03.dzn,SATISFIED,0.099,295,295
cp2025/t001-04.dzn,SATISFIED,0.693,205,205
cp2025/t001-05.dzn,SATISFIED,0.678,136,136
cp2025/t001-06.dzn,SATISFIED,0.406,279,279
cp2025/t002-01.dzn,SATISFIED,0.188,479,668
cp2025/t002-02.dzn,SATISFIED,0.107,557,948
cp2025/t002-03.dzn,SATISFIED,0.116,315,511
cp2025/t002-04.dzn,SATISFIED,0.438,505,684
cp2025/t002-05.dzn,SATISFIED,0.462,328,580
cp2025/t002-06.dzn,SATISFIED,1.178,533,1006
cp2025/t003-01.dzn,SATISFIED,0.139,612,1493
cp2025/t003-02.dzn,SATISFIED,0.131,607,1330
cp2025/t003-03.dzn,SATISFIED,0.255,609,1312
cp2025/t003-04.dzn,SATISFIED,1.333,800,1743
cp2025/t003-05.dzn,SATISFIED,0.536,647,1372
cp2025/t003-06.dzn,SATISFIED,0.798,683,885
cp2025/t004-01.dzn,SATISFIED,0.243,786,1779
cp2025/t004-02.dzn,SATISFIED,0.139,963,2598
cp2025/t004-03.dzn,SATISFIED,0.298,927,1674
cp2025/t004-04.dzn,SATISFIED,0.968,680,1905
cp2025/t004-05.dzn,SATISFIED,0.939,672,1635
cp2025/t004-06.dzn,SATISFIED,1.239,683,2049
cp2025/t005-01.dzn,SATISFIED,0.241,914,3261
cp2025/t005-02.dzn,SATISFIED,0.295,1123,3710
cp2025/t005-03.dzn,SATISFIED,0.226,969,3794
cp2025/t005-04.dzn,SATISFIED,0.687,1102,3994
cp2025/t005-05.dzn,SATISFIED,1.309,1099,3352
cp2025/t005-06.dzn,SATISFIED,0.686,988,2740
cp2025/t006-01.dzn,SATISFIED,0.321,1107,3527
cp2025/t006-02.dzn,SATISFIED,0.315,1106,3122
cp2025/t006-03.dzn,SATISFIED,0.289,1325,5066
cp2025/t006-04.dzn,SATISFIED,1.153,1151,4485
cp2025/t006-05.dzn,SATISFIED,1.046,1354,4343
cp2025/t006-06.dzn,SATISFIED,1.004,1213,3889
cp2025/t007-01.dzn,SATISFIED,0.278,1590,8137
cp2025/t007-02.dzn,SATISFIED,0.375,1480,6645
cp2025/t007-03.dzn,SATISFIED,0.254,1579,5787
cp2025/t007-04.dzn,SATISFIED,1.648,1561,6779
cp2025/t007-05.dzn,SATISFIED,1.151,1454,7137
cp2025/t007-06.dzn,SATISFIED,1.234,1424,7779
cp2025/t008-01.dzn,SATISFIED,0.189,1609,8247
cp2025/t008-02.dzn,SATISFIED,0.27,1647,8082
