"configuration","problem","model","data_file","time","run","objective","v_makespan","v_end_sum"
"gurobi_free_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t005-01.dzn","0.868","sat_appear-cp2025","","1036","4176"
"cpsat_fixed_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-01.dzn","15.933","sat_appear-cp2025","","5065","75264"
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t003-06.dzn","0.508","sat_appear-cp2025","","744","1561"
"chuffed_fixed_standardrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-06.dzn","0.527","sat_appear-cp2025","","1605","7152"
"cpsat_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-01.dzn","23.949","sat_appear-cp2025","","7406","175245"
"chuffed_free_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t005-01.dzn","1.124","sat_appear-cp2025","","914","3263"
"chuffed_fixed_standardrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-03.dzn","0.692","sat_appear-cp2025","","2149","10738"
"chuffed_fixed_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-05.dzn","1.043","sat_appear-cp2025","","2151","12201"
"chuffed_fixed_standard_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-02.dzn","0.601","sat_appear-cp2025","","1106","3091"
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-01.dzn","71.347","sat_appear-cp2025","","5213","81067"
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-01.dzn","1.046","sat_appear-cp2025","","2215","18102"
"gurobi_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-01.dzn","3.412","sat_appear-cp2025","","3484","31095"
"chuffed_fixed_fixedorderrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-04.dzn","1.333","sat_appear-cp2025","","2204","16278"
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-03.dzn","5.32","sat_appear-cp2025","","3284","36091"
"chuffed_fixed_fixedorderrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-03.dzn","1.449","sat_appear-cp2025","","2387","17929"
"chuffed_fixed_fixedorderrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-03.dzn","0.904","sat_appear-cp2025","","2189","10778"
"chuffed_free_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t022-01.dzn","5.339","sat_appear-cp2025","","4426","54880"
"cpotimizer_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t003-06.dzn","0.288","sat_appear-cp2025","","698","1898"
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-01.dzn","11.139","sat_appear-cp2025","","4055","51463"
"chuffed_fixed_standardrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-02.dzn","1.667","sat_appear-cp2025","","2462","18568"
"chuffed_free_priority_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-05.dzn","2.639","sat_appear-cp2025","","4811","76385"
"chuffed_fixed_priorityrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-04.dzn","4.037","sat_appear-cp2025","","3846","37347"
"chuffed_fixed_priorityrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-03.dzn","33.262","sat_appear-cp2025","","6009","130921"
"chuffed_fixed_fixedorderrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-05.dzn","1.877","sat_appear-cp2025","","2938","19259"
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t005-04.dzn","0.325","sat_appear-cp2025","","1244","4850"
"chuffed_fixed_standardrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t005-03.dzn","0.97","sat_appear-cp2025","","969","3795"
"cpotimizer_free_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-03.dzn","1.072","sat_appear-cp2025","","3060","29895"
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-05.dzn","8.658","sat_appear-cp2025","","3307","41503"
"cpsat_fixed_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t022-01.dzn","10.031","sat_appear-cp2025","","4426","54880"
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-03.dzn","7.607","sat_appear-cp2025","","5191","65627"
"cpsat_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-02.dzn","4.594","sat_appear-cp2025","","3130","27979"
"chuffed_fixed_fixedorderrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t002-04.dzn","0.234","sat_appear-cp2025","","505","684"
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-04.dzn","2.208","sat_appear-cp2025","","3256","37085"
"chuffed_fixed_priorityrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-05.dzn","2.994","sat_appear-cp2025","","3531","34988"
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-03.dzn","2.213","sat_appear-cp2025","","2950","28978"
"chuffed_fixed_standardrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-02.dzn","1.822","sat_appear-cp2025","","2815","24836"
"chuffed_fixed_priorityrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-01.dzn","1.695","sat_appear-cp2025","","2580","20968"
"chuffed_fixed_priorityrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t003-06.dzn","0.624","sat_appear-cp2025","","683","886"
"chuffed_fixed_priority_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t050-02.dzn","51.704","sat_appear-cp2025","","9977","267549"
"chuffed_fixed_standard_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-06.dzn","0.535","sat_appear-cp2025","","1424","7779"
"chuffed_fixed_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-03.dzn","4.398","sat_appear-cp2025","","3917","46011"
"chuffed_fixed_fixedorderrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-01.dzn","1.582","sat_appear-cp2025","","2580","20968"
"chuffed_fixed_fixedorderrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-06.dzn","0.784","sat_appear-cp2025","","2278","18521"
"chuffed_fixed_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-03.dzn","4.855","sat_appear-cp2025","","4139","63596"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-03.dzn","0.676","sat_appear-cp2025","","1325","5068"
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-04.dzn","1.288","sat_appear-cp2025","","2868","20090"
"chuffed_fixed_fixedorderrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-06.dzn","4.224","sat_appear-cp2025","","3811","41808"
"cpsat_fixed_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-02.dzn","65.542","sat_appear-cp2025","","9003","229149"
"cpsat_fixed_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-01.dzn","1.405","sat_appear-cp2025","","1764","9186"
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-06.dzn","0.368","sat_appear-cp2025","","1213","3891"
"chuffed_fixed_priority_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-06.dzn","11.878","sat_appear-cp2025","","2977","34541"
"gurobi_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-05.dzn","12.961","sat_appear-cp2025","","5977","70232"
"chuffed_fixed_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t021-03.dzn","4.244","sat_appear-cp2025","","4234","52344"
"cpsat_free_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-04.dzn","3.546","sat_appear-cp2025","","2696","18906"
"chuffed_fixed_fixedorderrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-04.dzn","2.232","sat_appear-cp2025","","2818","18583"
"chuffed_fixed_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-02.dzn","0.76","sat_appear-cp2025","","2545","19083"
"cpsat_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-01.dzn","3.419","sat_appear-cp2025","","2641","21258"
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-03.dzn","56.246","sat_appear-cp2025","","5405","86958"
"chuffed_fixed_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-06.dzn","3.074","sat_appear-cp2025","","2977","34313"
"chuffed_fixed_standard_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-06.dzn","1.588","sat_appear-cp2025","","2514","20932"
"cpsat_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-04.dzn","2.209","sat_appear-cp2025","","1772","8537"
"chuffed_fixed_standardrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-06.dzn","2.422","sat_appear-cp2025","","2932","28674"
"chuffed_fixed_fixedorderrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-02.dzn","7.787","sat_appear-cp2025","","5049","67205"
"cpsat_fixed_standard_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-04.dzn","3.807","sat_appear-cp2025","","3101","35058"
