configuration,problem,model,data_file,status,time,evaluatedHalfReifiedConstraints,method,nodes,backjumps,nogoods,run,initTime,paths,objective,optTime,variables,intVars,baseMem,randomSeed,objectiveBound,failures,nSolutions,trailMem,flatBoolVars,flatTime,propagations,restarts,peakDepth,evaluatedReifiedConstraints,boolVariables,flatBoolConstraints,propagators,flatIntConstraints,solveTime,peakMem,solver_objective,eliminatedLinearConstraints,eliminatedImplications,flatIntVars,openNodes
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/1TrainDestination.dzn,OPTIMAL_SOLUTION,0.9229923220118508,54.0,minimize,30.0,0.0,0.0,results_endtimes_all,0.015,0,11.0,0.01,3365.0,113.0,0.0,1266596891.0,,0.0,1,0.01,387,0.33027,638.0,1.0,30.0,202.0,3250.0,429.0,341.0,259,0.01,0.0,11.0,,78.0,112,
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/1TrainNoStop.dzn,OPTIMAL_SOLUTION,1.0786611860385165,78.0,minimize,50.0,0.0,0.0,results_endtimes_all,0.023,0,15.0,0.011,7633.0,192.0,0.0,412513254.0,,0.0,1,0.02,689,0.449973,1260.0,1.0,50.0,384.0,7439.0,758.0,654.0,466,0.011,0.0,15.0,,131.0,190,
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/1TrainOrigin.dzn,OPTIMAL_SOLUTION,0.8172013270668685,,minimize,1.0,0.0,0.0,results_endtimes_all,0.008,0,10.0,0.006,289.0,18.0,0.0,670766814.0,,0.0,1,0.0,14,0.306861,46.0,1.0,1.0,,269.0,,25.0,30,0.006,0.0,10.0,,,14,
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/1TrainStop.dzn,OPTIMAL_SOLUTION,0.9578180420212448,78.0,minimize,50.0,0.0,0.0,results_endtimes_all,0.023,0,16.0,0.012,8025.0,191.0,0.0,-780553631.0,,0.0,1,0.02,689,0.357779,1263.0,1.0,50.0,384.0,7832.0,758.0,654.0,466,0.012,0.0,16.0,,131.0,190,
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/2TrainStop.dzn,OPTIMAL_SOLUTION,1.1673658369109037,156.0,minimize,102.0,0.0,1.0,results_endtimes_all,0.051,0,35.0,0.016,24968.0,383.0,0.0,1043679190.0,,1.0,1,0.04,1472,0.409232,3966.0,1.0,101.0,862.0,24583.0,1563.0,1498.0,1028,0.016,0.0,35.0,,262.0,382,
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/3TrainStop.dzn,OPTIMAL_SOLUTION,1.2941301360260695,234.0,minimize,153.0,0.0,1.0,results_endtimes_all,0.091,0,61.0,0.022,51021.0,575.0,0.0,-1404418320.0,,1.0,1,0.05,2491,0.502668,7574.0,1.0,152.0,1576.0,50444.0,2486.0,2815.0,1827,0.022,0.0,61.0,,393.0,574,
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/3Trains_2Stop_1Destination.dzn,OPTIMAL_SOLUTION,1.2403105050325394,210.0,minimize,133.0,0.0,1.0,results_endtimes_all,0.071,0,56.0,0.02,38450.0,503.0,0.0,1795411651.0,,1.0,1,0.05,2029,0.460781,5809.0,1.0,132.0,1234.0,37945.0,2077.0,2184.0,1461,0.02,0.0,56.0,,340.0,500,
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/4Trains_2Stop_1Origin_1Destination.dzn,OPTIMAL_SOLUTION,1.1520421800669285,213.0,minimize,190.0,9.0,48.0,results_endtimes_all,0.092,0,80.0,0.01,55403.0,520.0,0.0,-1957381127.0,,48.0,1,0.05,2094,0.463955,60025.0,1.0,133.0,1282.0,54881.0,2101.0,2293.0,1540,0.027,0.0,80.0,,340.0,515,
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_endtimes.mzn:../models/pddl-print.mzn,icaps21/5Trains.dzn,SATISFIED,301.71185961097945,207.0,minimize,,,,results_endtimes_all,,0,1892.0,,,,,,,,4,,2810,0.510557,,,,1866.0,,2646.0,,2153,,,,,363.0,610,
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t010-01.dzn,OPTIMAL_SOLUTION,1.681415245984681,210.0,minimize,702.0,456.0,159.0,results_endtimes_all,0.314,0,14957.0,0.051,10977.0,700.0,0.0,1122003664.0,,159.0,1,0.42,3411,0.607169,347822.0,1.0,153.0,2396.0,10275.0,2911.0,4591.0,2859,0.058,0.0,14957.0,,363.0,698,
