"configuration","problem","model","data_file","status","time","paths","randomSeed","nSolutions","flatIntConstraints","propagations","failures","baseMem","evaluatedReifiedConstraints","solveTime","openNodes","eliminatedImplications","intVars","initTime","optTime","eliminatedLinearConstraints","trailMem","variables","restarts","peakMem","flatBoolVars","solver_objective","run","flatTime","boolVariables","objectiveBound","peakDepth","propagators","nodes","flatBoolConstraints","flatIntVars","backjumps","evaluatedHalfReifiedConstraints","objective","nogoods","method"
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-05.dzn","OPTIMAL_SOLUTION","0.9243741739774123","0","","6","2505","","","","625","0.6178","","","","","","329","","","","","492","4345","endtimes_appear-cp2025","0.544035","","4345","","","1","","1433","","1032","4345","","minimize"
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-03.dzn","UNKNOWN","304.5338818830205","0","","0","57446","","","","54542","","","2720","","","","","","","","","61053","","endtimes_appear-cp2025","4.081889","","","","","","39431","4902","","1815","","","minimize"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-02.dzn","OPTIMAL_SOLUTION","26.338677966967225","0","","3","3022","24300926","44249","","1020","22.6354","","1435","","","","","","","","","2911","27633","endtimes_appear-cp2025","0.707351","830","27633","","","","3475","1572","","1270","27633","","minimize"
"chuffed_free_priority_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-02.dzn","OPTIMAL_SOLUTION","96.10525725211482","0","1921457302","2","58180","290873327","18428","0.0","54742","82.472","","2820","5373","5.499","4.271","","36.04","874672","64","0.0","61404","103570","endtimes_appear-cp2025","4.180679","869297","","1254","108436","62156","39801","5348","38473","2026","103570","18428","minimize"
"cpsat_free_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-06.dzn","OPTIMAL_SOLUTION","14.288028937997296","0","","63","4330","4519184","2941","","1764","7.64392","","2358","","","","","","","","","4773","41451","endtimes_appear-cp2025","0.879567","1249","41451","","","","5787","2185","","1944","41451","","minimize"
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-03.dzn","SATISFIED","301.239363575005","0","","3","4202","4241577","4022","","1890","4.31714","","2420","","","","","","","","","5076","63556","endtimes_appear-cp2025","0.82052","1261","62886","","","","6050","2073","","1890","63556","","minimize"
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-05.dzn","OPTIMAL_SOLUTION","1.6032101799501106","0","","2","5848","","","","1240","1.2771","","","","","","658","","","","","984","12868","endtimes_appear-cp2025","1.036049","","12868","","","1","","3400","","2617","12868","","minimize"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-06.dzn","OPTIMAL_SOLUTION","1.4486467969836667","0","","1","969","35321","67","","204","0.182207","","287","","","","","","","","","753","18521","endtimes_appear-cp2025","0.404123","143","18521","","","","695","487","","254","18521","","minimize"
"chuffed_free_priority_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-03.dzn","OPTIMAL_SOLUTION","2.506356975995004","0","1432511803","2","9708","1318168","371","0.0","8946","0.193","","847","1474","0.716","0.074","","10.68","29291","4","0.0","11180","28976","endtimes_appear-cp2025","0.894501","27815","","360","17203","1518","8470","1467","400","479","28976","371","minimize"
"cpsat_free_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t005-04.dzn","UNKNOWN","0.5121256109559909","0","","0","191","0","0","","","0.004284","","","","","","","","","","","68","0","endtimes_appear-cp2025","0.184412","0","0","","","","","78","","","","","minimize"
"chuffed_free_priority_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-01.dzn","OPTIMAL_SOLUTION","3.3945086450548843","0","-99042253","3","15024","206152","8","0.0","14028","0.116","","1089","1903","1.059","0.115","","7.12","31567","3","0.0","16918","39122","endtimes_appear-cp2025","1.25695","29662","","473","27098","1441","12153","1893","18","621","39122","8","minimize"
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-01.dzn","OPTIMAL_SOLUTION","17.63000506698154","0","","4","3029","","28835","","2719","16.559999","","373","","0.12","","","","825","","67.0","3538","14274","endtimes_appear-cp2025","0.443951","","14273","","2747","57831","3029","774","","","14274","","minimize"
"chuffed_free_priority_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-02.dzn","OPTIMAL_SOLUTION","0.7402576130116358","0","-1487237479","1","1378","6348","1","0.0","1118","0.009","","242","447","0.093","0.009","","1.41","4876","1","0.0","1785","3091","endtimes_appear-cp2025","0.322455","4427","","108","2074","109","1701","440","0","139","3091","1","minimize"
"cpsat_fixed_standard_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-03.dzn","OPTIMAL_SOLUTION","3.8070443719625473","0","","2","3768","332828","6","","1060","1.21378","","1635","","","","","","","","","3181","17929","endtimes_appear-cp2025","0.767397","817","17929","","","","4035","2084","","1710","17929","","minimize"
"gurobi_free_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-01.dzn","OPTIMAL_SOLUTION","5.3029462120030075","0","","4","23917","","","","4210","4.7285","","","","","","2094","","","","","2524","34901","endtimes_appear-cp2025","3.52489","","34901","","","1","","13158","","8854","34901","","minimize"
"cpsat_fixed_standard_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t005-01.dzn","OPTIMAL_SOLUTION","0.7383040270069614","0","","1","558","4123","0","","189","0.084352","","242","","","","","","","","","548","3263","endtimes_appear-cp2025","0.229349","77","3263","","","","605","257","","189","3263","","minimize"
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-03.dzn","OPTIMAL_SOLUTION","6.257864530896768","0","","1","24055","","","","4148","5.6133","","","","","","2230","","","","","2605","34385","endtimes_appear-cp2025","3.97997","","34385","","","1","","13319","","9255","34385","","minimize"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-04.dzn","SATISFIED","301.01521723601036","0","","3","4504","360712","207","","1632","1.52092","","2296","","","","","","","","","4506","37792","endtimes_appear-cp2025","0.924732","859","37467","","","","5560","2360","","2032","37792","","minimize"
"chuffed_fixed_fixedorderrestart_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-02.dzn","OPTIMAL_SOLUTION","1.5999103139620274","0","1756793945","2","4409","413613","124","0.0","3514","0.085","","564","1185","0.359","0.061","","2.11","14959","3","0.0","4947","13873","endtimes_appear-cp2025","0.655499","13772","","208","7025","869","4243","1180","356","407","13873","124","minimize"
"chuffed_fixed_standardrestart_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-04.dzn","OPTIMAL_SOLUTION","0.9195187110453844","0","698553168","2","2576","27619","4","0.0","2058","0.019","","408","787","0.154","0.019","","4.75","14007","2","0.0","3072","6758","endtimes_appear-cp2025","0.411235","13218","","155","3974","320","2853","778","6","273","6758","4","minimize"
"chuffed_fixed_priority_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-03.dzn","OPTIMAL_SOLUTION","1.5531820600153878","0","631807315","1","5436","21966","0","0.0","3586","0.021","","784","1957","0.272","0.021","","2.11","20384","1","0.0","5238","6763","endtimes_appear-cp2025","0.794097","18425","","210","8008","210","4859","1947","0","844","6763","0","minimize"
"chuffed_fixed_priorityrestart_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t035-02.dzn","OPTIMAL_SOLUTION","16.752649618079886","0","-481446926","4","95255","5392116","147","0.0","84507","2.476","","4900","11764","3.944","1.986","","7.12","432556","5","0.0","94383","124348","endtimes_appear-cp2025","6.97253","420790","","1269","173065","5517","61416","11734","241","5284","124348","147","minimize"
"chuffed_fixed_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-02.dzn","OPTIMAL_SOLUTION","2.537253248039633","0","607033490","1","8486","1147038","171","0.0","7362","0.184","","816","1603","0.757","0.125","","16.02","28545","1","0.0","9432","31925","endtimes_appear-cp2025","0.887944","26940","","312","14429","1326","7329","1597","879","552","31925","171","minimize"
"chuffed_fixed_priority_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-06.dzn","OPTIMAL_SOLUTION","3.1890826490707695","0","182669841","1","10157","556829","149","0.0","7218","0.142","","1176","3023","0.813","0.048","","3.16","38737","1","0.0","9817","28674","endtimes_appear-cp2025","1.38621","35712","","308","15770","657","8208","3013","201","1275","28674","149","minimize"
"cpsat_free_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-06.dzn","OPTIMAL_SOLUTION","4.037087608012371","0","","11","3022","189835","146","","1020","1.24674","","1435","","","","","","","","","2911","20927","endtimes_appear-cp2025","0.67071","293","20927","","","","3475","1572","","1270","20927","","minimize"
"cpotimizer_free_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-01.dzn","UNKNOWN","301.9166602710029","0","","0","16467","","2075914","","15605","298.48","","1179","","1.03","","","","2541","","268.0","17954","","endtimes_appear-cp2025","1.51886","","39086","","12243","4163329","13171","2642","","","","","minimize"
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-03.dzn","OPTIMAL_SOLUTION","1.6919096850324422","0","","1","5804","","12","","5445","0.26","","630","","0.21","","","","1241","","96.0","6740","17929","endtimes_appear-cp2025","0.652141","","17929","","4827","17","5536","1233","","","17929","","minimize"
"chuffed_fixed_fixedorderrestart_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-01.dzn","OPTIMAL_SOLUTION","0.6473178419983014","0","-86614420","1","511","2258","0","0.0","128","0.007","","","218","0.026","0.007","","0.19","8477","1","0.0","367","7170","endtimes_appear-cp2025","0.332033","8257","","11","649","11","64","208","0","3","7170","0","minimize"
"cpsat_fixed_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-05.dzn","SATISFIED","301.10850060905796","0","","2","4331","556760","1329","","1764","1.68883","","2358","","","","","","","","","4773","56010","endtimes_appear-cp2025","0.875785","977","55101","","","","5787","2185","","1944","56010","","minimize"
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-04.dzn","OPTIMAL_SOLUTION","109.57561179599725","0","","10","2287","161339259","333148","","945","106.303","","1210","","","","","","","","","2606","34689","endtimes_appear-cp2025","0.546313","1010","34689","","","","3025","1118","","945","34689","","minimize"
"chuffed_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-03.dzn","OPTIMAL_SOLUTION","0.6851978600025177","0","70056991","1","1067","4231","0","0.0","637","0.008","","156","424","0.068","0.008","","1.41","12538","1","0.0","1080","5068","endtimes_appear-cp2025","0.314679","12112","","59","1464","59","977","417","0","123","5068","0","minimize"
"chuffed_fixed_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-05.dzn","OPTIMAL_SOLUTION","1.6541983369970694","0","-1021802900","1","4770","172164","36","0.0","3902","0.026","","544","1130","0.439","0.026","","0.94","14181","1","0.0","5335","21320","endtimes_appear-cp2025","0.652708","13049","","219","7725","651","4383","1124","432","369","21320","36","minimize"
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-03.dzn","SATISFIED","309.61032958701253","0","","1","155187","","","","150380","","","4760","","","","","","","","","161643","","endtimes_appear-cp2025","9.81849","","","","","","96470","8441","","3162","239037","","minimize"
"chuffed_fixed_standardrestart_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-04.dzn","OPTIMAL_SOLUTION","0.6861076910281554","0","-1219599509","1","885","4483","1","0.0","539","0.008","","141","365","0.069","0.008","","0.42","7674","1","0.0","966","4476","endtimes_appear-cp2025","0.307898","7307","","55","1185","58","891","361","2","107","4476","1","minimize"
"chuffed_fixed_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-04.dzn","OPTIMAL_SOLUTION","0.755704479990527","0","-1957687803","1","1593","6252","0","0.0","1248","0.009","","242","488","0.097","0.009","","2.11","7498","1","0.0","1943","5474","endtimes_appear-cp2025","0.337278","7008","","111","2401","111","1766","483","0","139","5474","0","minimize"
"chuffed_fixed_fixedorderrestart_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t003-05.dzn","OPTIMAL_SOLUTION","0.5465847830055282","0","1569098528","1","115","346","0","0.0","8","0.003","","","57","0.06","0.002","","0.08","68274","1","0.0","50","1372","endtimes_appear-cp2025","0.202541","68215","","4","108","4","4","52","0","","1372","0","minimize"
"chuffed_fixed_priority_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-06.dzn","SATISFIED","302.2315860200906","0","","2","15026","","","","14030","","","1089","","","","","","","","","16920","","endtimes_appear-cp2025","1.28871","","","","","","12154","1893","","621","41451","","minimize"
"cpsat_free_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-01.dzn","OPTIMAL_SOLUTION","8.17633359390311","0","","6","5262","615385","346","","1484","3.39796","","2289","","","","","","","","","4457","29910","endtimes_appear-cp2025","1.08558","725","29910","","","","5649","2923","","2394","29910","","minimize"
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-03.dzn","UNKNOWN","305.0115571260685","0","","0","126952","","","","13498","278.0663","","","","","","7350","","","","","8179","","endtimes_appear-cp2025","21.8705","","129194.840805","","","531","","74557","","59533","","","minimize"
"chuffed_fixed_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-01.dzn","SATISFIED","308.480410794029","0","","2","154273","","","","149468","","","4760","","","","","","","","","160728","","endtimes_appear-cp2025","9.78472","","","","","","96014","8440","","3159","208427","","minimize"
"chuffed_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-06.dzn","SATISFIED","302.0533970510587","0","","1","14605","","","","12544","","","1248","","","","","","","","","15449","","endtimes_appear-cp2025","1.49348","","","","","","11540","2629","","993","34313","","minimize"
"cpsat_free_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-01.dzn","OPTIMAL_SOLUTION","3.0267732340143993","0","","3","2185","285320","130","","788","0.986253","","1068","","","","","","","","","2236","15238","endtimes_appear-cp2025","0.549174","233","15238","","","","2628","1119","","908","15238","","minimize"
"chuffed_fixed_priority_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-02.dzn","OPTIMAL_SOLUTION","5.8001024189870805","0","1338010470","3","20821","390357","16","0.0","16238","0.249","","1960","4865","1.845","0.19","","3.16","71727","3","0.0","20369","58052","endtimes_appear-cp2025","2.23818","66860","","511","34382","1565","15784","4849","16","2119","58052","16","minimize"
"chuffed_fixed_fixedorderrestart_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-02.dzn","OPTIMAL_SOLUTION","2.1594958470668644","0","1015875123","2","6472","724126","48","0.0","5109","0.129","","780","1691","0.567","0.129","","1.41","22094","2","0.0","6962","18568","endtimes_appear-cp2025","0.835141","20401","","254","10383","1168","5847","1684","648","621","18568","48","minimize"
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-06.dzn","OPTIMAL_SOLUTION","2.2985935929464176","0","-701708020","2","6567","2121343","558","0.0","5574","0.426","","680","1368","0.483","0.152","","3.16","67991","2","0.0","7321","20927","endtimes_appear-cp2025","0.794912","66621","","267","10999","1612","5827","1359","522","456","20927","558","minimize"
"gurobi_free_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-01.dzn","OPTIMAL_SOLUTION","96.42633056093473","0","","13","46055","","","","7608","95.2244","165","","","","","3414","","","","","3463","37498","endtimes_appear-cp2025","7.20124","","37498","","","965","","24827","","15711","37498","","minimize"
