"configuration","problem","model","data_file","status","time","evaluatedReifiedConstraints","paths","method","flatIntConstraints","solveTime","failures","randomSeed","nSolutions","flatBoolConstraints","restarts","propagators","propagations","initTime","evaluatedHalfReifiedConstraints","peakMem","trailMem","baseMem","eliminatedLinearConstraints","boolVariables","objective","backjumps","openNodes","error","solver_objective","intVars","nodes","variables","peakDepth","flatTime","optTime","flatBoolVars","run","objectiveBound","eliminatedImplications","nogoods","flatIntVars"
"gurobi_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-06.dzn","UNSATISFIABLE","1.5126218379009515","1206","0","minimize","5853","0.0152","","","0","","","","","","2606","","","","658","","","","","","","","0","","","1.07928","","964","endtimes_reverse-cp2025","1e+100","","","3406"
"chuffed_fixed_priority_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-01.dzn","UNSATISFIABLE","12.678146271966398","549","0","minimize","825","12.025","180961","1083683809","0","869","0","1140","22300027","0.061","85","0.0","0.63","0.0","","40134","","6021","","","-1","311","186148","40447","9","0.285593","0.0","942","endtimes_reverse-cp2025","","131","180961","305"
"cpsat_fixed_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-05.dzn","OPTIMAL_SOLUTION","0.5893077780492604","189","0","minimize","419","0.061977","0","","1","605","","","292","","189","","","","","79","136","","","","136","","","","","0.204775","","494","endtimes_reverse-cp2025","136","242","","190"
"chuffed_free_priority_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-02.dzn","OPTIMAL_SOLUTION","0.528794578043744","36","0","minimize","178","0.006","2","-1159893980","1","18","1","193","1034","0.028","3","0.0","0.12","0.0","","25043","2598","3","","","2598","76","9","25121","5","0.225989","0.006","105","endtimes_reverse-cp2025","","","2","71"
"cpsat_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","ERROR","3.5564309540204704","980","0","minimize","2739","","","","0","3215","","","","","1080","","","","","","","","","terminate called after throwing an instance of 'std::out_of_range'
  what():  absl::container_internal::raw_hash_map<>::at","","","","","","0.637107","","2773","endtimes_reverse-cp2025","","1310","","1363"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","OPTIMAL_SOLUTION","1.3146286190021783","378","0","minimize","1022","0.183111","43","","1","1210","","","14900","","378","","","","","182","3969","","","","3969","","","","","0.309293","","1068","endtimes_reverse-cp2025","3969","484","","486"
"cpsat_fixed_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-01.dzn","UNSATISFIABLE","3.864018001127988","1020","0","minimize","3108","0.06028","0","","0","3475","","","0","","1270","","","","","0","","","","","0","","","","","0.771031","","2959","endtimes_reverse-cp2025","0","1435","","1616"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","OPTIMAL_SOLUTION","1.0344375239219517","1820","0","minimize","2374","0.033","107","1989492545","1","2052","2","3689","194825","0.189","145","0.0","0.94","0.0","","19446","16994","12","","","16994","586","236","20034","115","0.44152","0.024","2595","endtimes_reverse-cp2025","","242","107","583"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","OPTIMAL_SOLUTION","92.98071679309942","1512","0","minimize","3651","87.1907","26128","","14","4840","","","14986136","","1512","","","","","1636","47201","","","","47201","","","","","0.746712","","4158","endtimes_reverse-cp2025","47201","1936","","1789"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","OPTIMAL_SOLUTION","5.818821292137727","1910","0","minimize","2520","4.605","995","2063019993","129","2097","135","3891","6772685","0.232","152","0.0","0.94","0.0","","191784","18968","1093","","","18968","614","16806","192400","186","0.490645","4.347","2720","endtimes_reverse-cp2025","","242","995","609"
