"configuration","problem","model","data_file","status","time","objectiveBound","variables","solveTime","paths","intVars","peakMem","run","flatBoolVars","nodes","flatIntConstraints","openNodes","failures","peakDepth","initTime","propagations","boolVariables","flatIntVars","nSolutions","evaluatedHalfReifiedConstraints","flatBoolConstraints","flatTime","solver_objective","propagators","optTime","method","eliminatedImplications","backjumps","restarts","objective","randomSeed","eliminatedLinearConstraints","evaluatedReifiedConstraints","baseMem","nogoods","trailMem"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","OPTIMAL_SOLUTION","1.279055917984806","3969","","0.179231","0","","","endtimes_reverse-cp2025_big","1068","","1022","","43","","","14900","182","486","1","378","1210","0.295429","3969","","","minimize","484","","","3969","","","378","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","SATISFIED","301.7470718899276","","","","0","","","endtimes_reverse-cp2025_big","5881","","6249","","","","","","","1017","2","147","3524","0.809751","","","","minimize","242","","","43276","","","4764","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","SATISFIED","301.98666735505685","162665","","285.07","0","","","endtimes_reverse-cp2025_big","4848","","5553","","3979","","","9867300","2287","2671","111","1512","4840","1.07102","179186","","","minimize","1936","","","179186","","","1512","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","SATISFIED","301.7645335390698","","","","0","","","endtimes_reverse-cp2025_big","5932","","6295","","","","","","","1027","2","156","3536","0.798829","","","","minimize","242","","","45268","","","4788","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-04.dzn","UNKNOWN","303.73639519209974","","","","0","","","endtimes_reverse-cp2025_big","29789","","29339","","","","","","","2593","0","559","17822","2.31886","","","","minimize","968","","","","","","26508","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-03.dzn","SATISFIED","301.15332791395485","82620","","28.219","0","","","endtimes_reverse-cp2025_big","3272","","4129","","15838","","","10962069","758","1974","5","945","3025","0.872936","103773","","","minimize","1210","","","103773","","","945","","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","OPTIMAL_SOLUTION","0.9172290890710428","","299265","0.012","0","244","0.0","endtimes_reverse-cp2025_big","833","57","651","","0","57","0.278","2070","299019","240","1","74","812","0.255271","1635","914","0.011","minimize","121","0","1","1635","747539656","","482","0.0","0","0.42"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-03.dzn","SATISFIED","303.3508967210073","","","","0","","","endtimes_reverse-cp2025_big","41021","","39817","","","","","","","3120","1","766","24709","2.83584","","","","minimize","1331","","","144730","","","36856","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","SATISFIED","302.5058611630229","","","","0","","","endtimes_reverse-cp2025_big","19295","","19597","","","","","","","2046","6","352","11312","1.59523","","","","minimize","605","","","103304","","","16914","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","UNKNOWN","305.4779357390944","","","","0","","","endtimes_reverse-cp2025_big","79514","","75794","","","","","","","4533","0","1376","47855","4.84956","","","","minimize","2420","","","","","","72870","","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-03.dzn","OPTIMAL_SOLUTION","0.4835811540251598","511","","0.2031","0","","","endtimes_reverse-cp2025_big","40","0","103","","","","","","","100","1","102","","0.200076","511","","","minimize","","","","511","","","84","","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","303.32642585691065","","","","0","","","endtimes_reverse-cp2025_big","35596","","34892","","","","","","","2766","1","629","21152","2.55829","","","","minimize","1089","","","202340","","","32026","","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","303.38796565891244","","","","0","","","endtimes_reverse-cp2025_big","35596","","34892","","","","","","","2766","1","629","21152","2.59937","","","","minimize","1089","","","202874","","","32026","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","OPTIMAL_SOLUTION","62.89067952905316","","148506","61.642","0","644","0.0","endtimes_reverse-cp2025_big","2913","55265","2748","","50644","118","0.263","137916727","147860","639","3","153","2181","0.497017","16854","4271","14.121","minimize","242","4285","3","16854","-1231300415","","2078","0.0","50644","2.11"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-04.dzn","UNKNOWN","303.3079531858675","","","","0","","","endtimes_reverse-cp2025_big","32038","","31669","","","","","","","2641","0","558","18932","2.45289","","","","minimize","968","","","","","","28728","","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-06.dzn","SATISFIED","302.1668690899387","","","","0","","","endtimes_reverse-cp2025_big","13944","","14205","","","","","","","1669","1","292","8279","1.2894","","","","minimize","484","","","101607","","","11990","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-06.dzn","SATISFIED","301.38403041800484","","","","0","","","endtimes_reverse-cp2025_big","2158","","1793","","","","","","","465","5","140","1881","0.348727","","","","minimize","242","","","2919","","","1478","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-01.dzn","SATISFIED","301.74520816095173","148393","","231.178","0","","","endtimes_reverse-cp2025_big","4324","","5063","","10289","","","7727962","5498","2437","28","1323","4235","1.0038","159702","","","minimize","1694","","","159702","","","1323","","",""
