configuration,problem,model,data_file,status,time,objective,initTime,nSolutions,paths,evaluatedHalfReifiedConstraints,eliminatedImplications,intVars,propagators,flatTime,run,boolVariables,flatBoolConstraints,optTime,propagations,evaluatedReifiedConstraints,baseMem,solver_objective,randomSeed,nogoods,variables,backjumps,peakDepth,peakMem,restarts,method,failures,openNodes,flatIntVars,objectiveBound,flatIntConstraints,solveTime,nodes,flatBoolVars,eliminatedLinearConstraints,trailMem
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_makespan.mzn:../models/pddl-print.mzn,icaps21/1TrainDestination.dzn,OPTIMAL_SOLUTION,0.8260547480313107,11.0,0.015,1,0,54.0,78.0,113.0,341.0,0.319853,results_makespan_all,3250.0,429.0,0.01,638.0,202.0,0.0,11.0,-1697231614.0,0.0,3365.0,0.0,30.0,0.0,1.0,minimize,0.0,,112,,259,0.01,30.0,387,,0.01
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_makespan.mzn:../models/pddl-print.mzn,icaps21/1TrainNoStop.dzn,OPTIMAL_SOLUTION,0.8957661399617791,15.0,0.023,1,0,78.0,131.0,192.0,654.0,0.344837,results_makespan_all,7439.0,758.0,0.012,1260.0,384.0,0.0,15.0,1013959411.0,0.0,7633.0,0.0,50.0,0.0,1.0,minimize,0.0,,190,,466,0.012,50.0,689,,0.02
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_makespan.mzn:../models/pddl-print.mzn,icaps21/1TrainOrigin.dzn,OPTIMAL_SOLUTION,0.8277608709177002,10.0,0.009,1,0,,,18.0,25.0,0.306914,results_makespan_all,269.0,,0.006,46.0,,0.0,10.0,952414033.0,0.0,289.0,0.0,1.0,0.0,1.0,minimize,0.0,,14,,30,0.006,1.0,14,,0.0
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_makespan.mzn:../models/pddl-print.mzn,icaps21/1TrainStop.dzn,OPTIMAL_SOLUTION,0.8984305139165372,16.0,0.024,1,0,78.0,131.0,191.0,654.0,0.341396,results_makespan_all,7832.0,758.0,0.011,1263.0,384.0,0.0,16.0,493568367.0,0.0,8025.0,0.0,50.0,0.0,1.0,minimize,0.0,,190,,466,0.011,50.0,689,,0.02
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_makespan.mzn:../models/pddl-print.mzn,icaps21/2TrainStop.dzn,OPTIMAL_SOLUTION,0.9804168299306184,19.0,0.05,1,0,156.0,262.0,382.0,1496.0,0.40708,results_makespan_all,24532.0,1563.0,0.016,3956.0,862.0,0.0,19.0,1436502961.0,1.0,24916.0,0.0,101.0,0.0,1.0,minimize,1.0,,381,,1027,0.016,102.0,1472,,0.04
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_makespan.mzn:../models/pddl-print.mzn,icaps21/3TrainStop.dzn,OPTIMAL_SOLUTION,1.1427140219602734,26.0,0.091,1,0,234.0,393.0,574.0,2813.0,0.477294,results_makespan_all,50303.0,2486.0,0.023,7560.0,1576.0,0.0,26.0,957295399.0,1.0,50879.0,0.0,152.0,0.0,1.0,minimize,1.0,,573,,1826,0.023,153.0,2491,,0.05
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_makespan.mzn:../models/pddl-print.mzn,icaps21/3Trains_2Stop_1Destination.dzn,OPTIMAL_SOLUTION,1.0796739269280806,21.0,0.07,1,0,210.0,340.0,502.0,2182.0,0.447495,results_makespan_all,37804.0,2077.0,0.02,5791.0,1234.0,0.0,21.0,-1473173528.0,1.0,38308.0,0.0,132.0,0.0,1.0,minimize,1.0,,499,,1460,0.02,133.0,2029,,0.05
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_makespan.mzn:../models/pddl-print.mzn,icaps21/4Trains_2Stop_1Origin_1Destination.dzn,OPTIMAL_SOLUTION,1.1207029110519215,24.0,0.091,1,0,213.0,340.0,519.0,2291.0,0.459457,results_makespan_all,54574.0,2101.0,0.021,70478.0,1282.0,0.0,24.0,2125646232.0,62.0,55095.0,16.0,133.0,0.0,1.0,minimize,62.0,,514,,1539,0.039,211.0,2094,,0.05
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_makespan.mzn:../models/pddl-print.mzn,icaps21/5Trains.dzn,OPTIMAL_SOLUTION,3.2435758800711483,438.0,1.878,2,0,207.0,363.0,1157.0,3408.0,0.499965,results_makespan_all,1071488.0,2646.0,0.092,22491.0,1866.0,0.0,438.0,-672510816.0,12.0,1072647.0,0.0,151.0,0.0,2.0,minimize,12.0,,609,,2152,0.095,313.0,2810,,0.94
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_makespan.mzn:../models/pddl-print.mzn,cp2025/t010-01.dzn,OPTIMAL_SOLUTION,1.6178855439648032,2196.0,0.306,1,0,210.0,363.0,699.0,4589.0,0.598245,results_makespan_all,9716.0,2911.0,0.05,281690.0,2396.0,0.0,2196.0,-1181980490.0,109.0,10417.0,432.0,153.0,0.0,1.0,minimize,109.0,,697,,2858,0.051,628.0,3411,,0.42
