"configuration","problem","model","data_file","status","time","objectiveBound","peakDepth","eliminatedLinearConstraints","flatIntVars","propagations","intVars","method","flatBoolConstraints","nodes","objective","restarts","evaluatedReifiedConstraints","flatTime","optTime","initTime","flatIntConstraints","randomSeed","nSolutions","failures","paths","solver_objective","variables","run","propagators","eliminatedImplications","baseMem","trailMem","openNodes","evaluatedHalfReifiedConstraints","solveTime","peakMem","boolVariables","flatBoolVars","nogoods","backjumps"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","OPTIMAL_SOLUTION","1.351170867914334","1107","","","485","8558","","minimize","1210","","1107","","378","0.303553","","","1021","","1","35","0","1107","","makespan_reverse-cp2025","","484","","","","378","0.174406","","182","1068","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","OPTIMAL_SOLUTION","1.050448979018256","","115","","582","128724","585","minimize","2052","223","2114","2","1820","0.45646","0.024","0.19","2373","-848080006","1","100","0","2114","17070","makespan_reverse-cp2025","3687","242","0.0","0.94","","145","0.024","0.0","16483","2595","100","6"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","OPTIMAL_SOLUTION","6.898699988145381","3013","","","1788","101369","","minimize","4840","","3013","","1512","0.756953","","","3650","","1","36","0","3013","","makespan_reverse-cp2025","","1936","","","","1512","1.0566","","139","4158","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","OPTIMAL_SOLUTION","1.0616721180267632","","115","","608","30492","613","minimize","2097","157","2038","1","1910","0.437982","0.014","0.227","2519","-51765341","1","37","0","2038","7410","makespan_reverse-cp2025","3889","242","0.0","0.94","","152","0.014","0.0","6795","2720","37","6"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-04.dzn","OPTIMAL_SOLUTION","87.40334206400439","","509","","1810","134491005","1821","minimize","10850","71633","3846","65","12564","1.23373","7.806","1.481","13721","2105236195","3","18670","0","3846","1005070","makespan_reverse-cp2025","24419","968","0.0","10.68","","559","83.22","0.0","1003247","15241","18670","49796"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-03.dzn","OPTIMAL_SOLUTION","3.9992159630637616","2387","","","1134","1406627","","minimize","3025","","2387","","945","0.518208","","","2323","","1","1856","0","2387","","makespan_reverse-cp2025","","1210","","","","945","1.47466","","532","2618","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","OPTIMAL_SOLUTION","0.9087079700548202","","57","","239","2055","243","minimize","812","57","672","1","482","0.258085","0.011","0.277","650","-432451069","1","0","0","672","299256","makespan_reverse-cp2025","912","121","0.0","0.42","","74","0.011","0.0","299011","833","0","0"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-03.dzn","OPTIMAL_SOLUTION","5.831060141092166","","560","","2417","9279464","2432","minimize","16989","3603","4234","6","21416","1.74078","0.924","1.757","22863","1696277863","1","2163","0","4234","67465","makespan_reverse-cp2025","41748","1331","0.0","1.41","","764","0.925","0.0","65031","25033","2163","860"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","OPTIMAL_SOLUTION","2.1430780270602554","","258","","1189","87042","1196","minimize","5758","296","2561","1","5806","0.774269","0.024","0.661","6648","473177916","1","15","0","2561","14211","makespan_reverse-cp2025","11320","605","0.0","0.94","","349","0.024","0.0","13013","7520","15","24"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","UNKNOWN","304.6548999790102","","","","4168","","","minimize","40556","","","","58272","4.10307","","","60427","","0","","0","","","makespan_reverse-cp2025","","2420","","","","1375","","","","64643","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-03.dzn","OPTIMAL_SOLUTION","0.4969223130028695","315","","","99","","","minimize","","0","315","","84","0.201749","","","102","","1","","0","315","","makespan_reverse-cp2025","","","","","","102","0.2054","","","40","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","OPTIMAL_SOLUTION","4.81942664203234","","462","","2002","5259093","2014","minimize","12541","2858","3828","6","14804","1.43981","0.827","1.389","16031","-420624420","2","1400","0","3828","66376","makespan_reverse-cp2025","28752","1089","0.0","24.03","","627","0.828","0.0","64360","17780","1400","480"
