"configuration","problem","model","data_file","status","time","method","solver_objective","boolVariables","flatBoolConstraints","optTime","variables","evaluatedReifiedConstraints","run","initTime","trailMem","paths","restarts","peakMem","objective","intVars","flatBoolVars","eliminatedLinearConstraints","nodes","flatIntConstraints","nSolutions","evaluatedHalfReifiedConstraints","peakDepth","solveTime","backjumps","openNodes","nogoods","propagators","objectiveBound","baseMem","eliminatedImplications","flatTime","flatIntVars","propagations","failures","randomSeed"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","OPTIMAL_SOLUTION","1.2678412818349898","minimize","1107","182","1210","","","378","makespan_reverse-cp2025_big","","","0","","","1107","","1068","","","1021","1","378","","0.169305","","","","","1107","","484","0.292549","485","8558","35",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","OPTIMAL_SOLUTION","79.81227004993707","minimize","2201","1298373","3524","77.175","1299410","4764","makespan_reverse-cp2025_big","0.602","10.68","0","122","0.0","2201","1035","5881","","39272","6248","92","147","217","77.374","14056","","7388","10351","","0.0","242","0.789182","1016","103937393","7388","69855285"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","SATISFIED","302.08559187478386","minimize","5255","0","4840","","","1512","makespan_reverse-cp2025_big","","","0","","","5255","","4848","","","5552","144","1512","","171.149","","","","","3403","","1936","1.08531","2670","0","0",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","OPTIMAL_SOLUTION","63.628664575051516","minimize","2354","1703062","3536","60.898","1704111","4788","makespan_reverse-cp2025_big","0.594","16.02","0","49","0.0","2354","1047","5932","","24984","6294","28","156","1142","61.069","13611","","4741","10369","","0.0","242","0.813595","1026","83039279","4741","-1825813979"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-04.dzn","UNKNOWN","303.74606510507874","minimize","","","17822","","","26508","makespan_reverse-cp2025_big","","","0","","","","","29789","","","29338","0","559","","","","","","","","","968","2.35888","2592","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-03.dzn","SATISFIED","301.1545417639427","minimize","3386","1015","3025","","","945","makespan_reverse-cp2025_big","","","0","","","3386","","3272","","","4128","4","945","","45.7116","","","","","2387","","1210","0.878517","1973","40228580","74042",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","OPTIMAL_SOLUTION","0.9201254029758275","minimize","672","299011","812","0.011","299256","482","makespan_reverse-cp2025_big","0.284","0.42","0","1","0.0","672","243","833","","57","650","1","74","57","0.012","0","","0","912","","0.0","121","0.257828","239","2055","0","686437361"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-03.dzn","OPTIMAL_SOLUTION","17.07778785098344","minimize","4234","211142","24709","8.305","214302","36856","makespan_reverse-cp2025_big","3.35","2.11","0","8","0.0","4234","3158","41021","","10383","39816","1","766","609","8.313","4515","","4901","73848","","0.0","1331","2.92266","3119","54863445","4901","-1161255233"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","SATISFIED","302.5225682700984","minimize","","","11312","","","16914","makespan_reverse-cp2025_big","","","0","","","3510","","19295","","","19596","9","352","","","","","","","","","605","1.60567","2045","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","UNKNOWN","305.5247390861623","minimize","","","47855","","","72870","makespan_reverse-cp2025_big","","","0","","","","","79514","","","75793","0","1376","","","","","","","","","2420","4.84959","4532","","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-03.dzn","OPTIMAL_SOLUTION","0.4937930980231613","minimize","315","","","","","84","makespan_reverse-cp2025_big","","","0","","","315","","40","","0","102","1","102","","0.2037","","","","","315","","","0.19988","99","","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","303.4151341910474","minimize","","","21152","","","32026","makespan_reverse-cp2025_big","","","0","","","5951","","35596","","","34891","1","629","","","","","","","","","1089","2.67851","2765","","",""
