configuration,problem,model,data_file,status,time,trailMem,nogoods,eliminatedLinearConstraints,flatBoolConstraints,backjumps,flatBoolVars,flatIntVars,objectiveBound,initTime,propagations,flatIntConstraints,method,peakDepth,failures,run,baseMem,boolVariables,eliminatedImplications,nSolutions,flatTime,openNodes,paths,intVars,peakMem,evaluatedHalfReifiedConstraints,randomSeed,solver_objective,solveTime,propagators,restarts,evaluatedReifiedConstraints,variables,nodes
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_sat.mzn:../models/pddl-print.mzn,icaps21/1TrainDestination.dzn,SATISFIED,0.8171341959387064,0.01,0.0,,429.0,0.0,387,112,,0.016,638.0,259,satisfy,29.0,0.0,results_sat_all,0.0,3250.0,78.0,1,0.318003,,0,113.0,0.0,54.0,2144525670.0,,0.009,341.0,0.0,202.0,3365.0,30.0
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_sat.mzn:../models/pddl-print.mzn,icaps21/1TrainNoStop.dzn,SATISFIED,0.9034504999872296,0.02,0.0,,758.0,0.0,689,190,,0.023,1260.0,466,satisfy,49.0,0.0,results_sat_all,0.0,7436.0,131.0,1,0.339695,,0,191.0,0.0,78.0,-681614418.0,,0.011,654.0,0.0,384.0,7629.0,50.0
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_sat.mzn:../models/pddl-print.mzn,icaps21/1TrainOrigin.dzn,SATISFIED,0.7539072459330782,0.0,0.0,,,0.0,14,14,,0.008,46.0,30,satisfy,0.0,0.0,results_sat_all,0.0,266.0,,1,0.284908,,0,17.0,0.0,,-1519827368.0,,0.006,25.0,0.0,,285.0,1.0
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_sat.mzn:../models/pddl-print.mzn,icaps21/1TrainStop.dzn,SATISFIED,0.9972075890982524,0.02,0.0,,758.0,0.0,689,190,,0.023,1263.0,466,satisfy,49.0,0.0,results_sat_all,0.0,7832.0,131.0,1,0.341755,,0,191.0,0.0,78.0,-1893331789.0,,0.011,654.0,0.0,384.0,8025.0,50.0
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_sat.mzn:../models/pddl-print.mzn,icaps21/2TrainStop.dzn,SATISFIED,0.9806762640364468,0.04,1.0,,1563.0,0.0,1472,381,,0.052,3956.0,1027,satisfy,100.0,1.0,results_sat_all,0.0,24532.0,262.0,1,0.395541,,0,382.0,0.0,156.0,-2015417299.0,,0.016,1496.0,0.0,862.0,24916.0,102.0
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_sat.mzn:../models/pddl-print.mzn,icaps21/3TrainStop.dzn,SATISFIED,1.1091472289990634,0.05,1.0,,2486.0,0.0,2491,573,,0.09,7560.0,1826,satisfy,151.0,1.0,results_sat_all,0.0,50303.0,393.0,1,0.472894,,0,574.0,0.0,234.0,-1358297369.0,,0.021,2813.0,0.0,1576.0,50879.0,153.0
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_sat.mzn:../models/pddl-print.mzn,icaps21/3Trains_2Stop_1Destination.dzn,SATISFIED,1.0443114710506052,0.05,1.0,,2077.0,0.0,2029,499,,0.07,5791.0,1460,satisfy,131.0,1.0,results_sat_all,0.0,37804.0,340.0,1,0.436492,,0,502.0,0.0,210.0,366561720.0,,0.019,2182.0,0.0,1234.0,38308.0,133.0
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_sat.mzn:../models/pddl-print.mzn,icaps21/4Trains_2Stop_1Origin_1Destination.dzn,SATISFIED,1.1381756080081686,0.05,1.0,,2101.0,0.0,2094,514,,0.09,6141.0,1539,satisfy,132.0,1.0,results_sat_all,0.0,54574.0,340.0,1,0.448259,,0,519.0,0.0,213.0,420669232.0,,0.02,2291.0,0.0,1282.0,55095.0,134.0
chuffed_fixed_fixedorder_col0,icaps21,../models/solve_sat.mzn:../models/pddl-print.mzn,icaps21/5Trains.dzn,SATISFIED,3.236262322054245,0.94,6.0,,2646.0,0.0,2810,609,,1.882,15536.0,2152,satisfy,150.0,6.0,results_sat_all,0.0,1071470.0,363.0,1,0.519256,,0,1157.0,0.0,207.0,805289982.0,,0.06,3408.0,0.0,1866.0,1072629.0,157.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t010-01.dzn,SATISFIED,1.6125835679704323,0.42,108.0,,2911.0,366.0,3411,697,,0.306,280495.0,2858,satisfy,152.0,108.0,results_sat_all,0.0,9610.0,363.0,1,0.601515,,0,699.0,0.0,210.0,837276881.0,,0.05,4589.0,0.0,2396.0,10311.0,627.0
