"configuration","problem","model","data_file","status","time","failures","paths","run","intVars","method","randomSeed","backjumps","solveTime","nogoods","flatTime","error","openNodes","evaluatedReifiedConstraints","eliminatedImplications","flatIntVars","nodes","flatIntConstraints","propagators","restarts","trailMem","baseMem","eliminatedLinearConstraints","flatBoolConstraints","flatBoolVars","initTime","evaluatedHalfReifiedConstraints","nSolutions","boolVariables","peakDepth","propagations","peakMem","variables"
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-05.dzn","SATISFIED","1.6999008655548096","","0","sat_appear-cp2025","","satisfy","","","1.2021","","1.02","","","1240","","3389","0","5790","","","","","658","","974","","2577","1","","","","",""
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-06.dzn","SATISFIED","0.7450545616447926","0","0","sat_appear-cp2025","353","satisfy","-491013330","0","0.01","0","0.272168","","","590","136","350","59","943","1293","0","2.11","0.0","","903","1001","0.082","90","1","13445","58","3413","0.0","13800"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t003-06.dzn","ERROR","0.24429044127464294","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_free_priority_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-01.dzn","SATISFIED","0.7609001398086548","0","0","sat_appear-cp2025","387","satisfy","-1786148326","0","0.008","0","0.294107","","","607","141","381","62","1006","1372","0","3.16","0.0","","925","1048","0.077","101","1","8700","61","4113","0.0","9089"
"cpsat_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-01.dzn","ERROR","0.21574456617236137","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-06.dzn","ERROR","0.2205035611987114","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t050-03.dzn","UNKNOWN","312.15419148281217","","0","sat_appear-cp2025","","satisfy","","","237.3776","","62.5567","","","16478","","215863","1","342644","","","","","13160","","15604","","199205","0","","","","",""
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-06.dzn","ERROR","0.2115117311477661","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_free_priority_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-01.dzn","SATISFIED","1.6538031361997128","0","0","sat_appear-cp2025","1094","satisfy","262828541","0","0.025","0","0.632045","","","5044","605","1085","267","5666","9680","0","1.41","0.0","","5377","6679","0.412","340","1","15552","266","26999","0.0","16648"
"cpsat_free_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-04.dzn","ERROR","0.24398661777377129","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
