"configuration","problem","model","data_file","status","time","flatIntVars","solver_objective","baseMem","eliminatedImplications","flatBoolConstraints","solveTime","trailMem","propagations","evaluatedHalfReifiedConstraints","randomSeed","variables","method","peakMem","nodes","restarts","nogoods","boolVariables","evaluatedReifiedConstraints","objectiveBound","propagators","backjumps","flatIntConstraints","flatTime","nSolutions","run","paths","initTime","peakDepth","eliminatedLinearConstraints","failures","flatBoolVars","openNodes","intVars"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","ALL_SOLUTIONS","1.2387371649965644","485","0","","484","1210","0.170179","","13041","378","","","satisfy","","","","","182","378","0","","","1021","0.280756","1","sat_reverse-cp2025","0","","","","35","1068","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","SATISFIED","0.9724608119577169","582","","0.0","242","2052","0.019","0.94","128724","145","1688270862","17070","satisfy","0.0","223","1","100","16483","1820","","3687","4","2373","0.403893","1","sat_reverse-cp2025","0","0.186","114","","100","2595","","585"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","ALL_SOLUTIONS","6.830517205875367","1788","0","","1936","4840","1.02807","","100688","1512","","","satisfy","","","","","138","1512","0","","","3650","0.757193","1","sat_reverse-cp2025","0","","","","36","4158","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","SATISFIED","1.0891125700436532","608","","0.0","242","2097","0.014","0.94","30492","152","-1580010517","7410","satisfy","0.0","157","0","37","6795","1910","","3889","5","2519","0.456671","1","sat_reverse-cp2025","0","0.231","114","","37","2720","","613"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-04.dzn","SATISFIED","6.60780978994444","1810","","0.0","968","10850","2.53","3.16","11595680","559","1789603524","385169","satisfy","0.0","5266","6","896","383346","12564","","24419","3664","13721","1.26986","1","sat_reverse-cp2025","0","1.489","508","","896","15241","","1821"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-03.dzn","ALL_SOLUTIONS","3.982943939976394","1134","0","","1210","3025","1.44566","","1328998","945","","","satisfy","","","","","532","945","0","","","2323","0.536383","1","sat_reverse-cp2025","0","","","","1744","2618","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","SATISFIED","0.8696655509993434","239","","0.0","121","812","0.011","0.42","2055","74","1437846734","299256","satisfy","0.0","57","0","0","299011","482","","912","0","650","0.241302","1","sat_reverse-cp2025","0","0.276","56","","0","833","","243"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-03.dzn","SATISFIED","6.027854487998411","2417","","0.0","1331","16989","0.996","1.41","9279462","764","15284169","67465","satisfy","0.0","3603","5","2163","65031","21416","","41748","793","22863","1.80697","1","sat_reverse-cp2025","0","1.773","559","","2163","25033","","2432"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","SATISFIED","2.1188121929299086","1189","","0.0","605","5758","0.023","0.94","87042","349","316692504","14211","satisfy","0.0","296","0","15","13013","5806","","11320","23","6648","0.774339","1","sat_reverse-cp2025","0","0.645","257","","15","7520","","1196"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","UNKNOWN","304.7560812870506","4168","","","2420","40556","","","","1375","","","satisfy","","","","","","58272","","","","60427","4.13928","0","sat_reverse-cp2025","0","","","","","64643","",""
