"configuration","problem","model","data_file","status","time","objectiveBound","solver_objective","eliminatedImplications","randomSeed","flatBoolVars","nodes","boolVariables","propagators","backjumps","baseMem","evaluatedReifiedConstraints","flatIntConstraints","nSolutions","evaluatedHalfReifiedConstraints","flatBoolConstraints","run","trailMem","solveTime","flatTime","method","eliminatedLinearConstraints","flatIntVars","variables","intVars","nogoods","propagations","peakMem","failures","restarts","peakDepth","paths","initTime","openNodes"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","ALL_SOLUTIONS","1.2762040551751852","0","0","484","","1068","","182","","","","378","1021","1","378","1210","sat_reverse-cp2025_big","","0.17192","0.303895","satisfy","","485","","","","13041","","35","","","0","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","SATISFIED","11.092262896941975","","","242","468623587","5881","2023","879226","10351","1120","0.0","4764","6248","1","147","3524","sat_reverse-cp2025_big","10.68","8.783","0.800995","satisfy","","1016","880263","1035","691","19165845","0.0","691","4","154","0","0.599",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","ALL_SOLUTIONS","17.940151711925864","0","0","1936","","4848","","294","","","","1512","5552","1","1512","4840","sat_reverse-cp2025_big","","3.04103","1.08243","satisfy","","2670","","","","343772","","135","","","0","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","SATISFIED","30.93633669987321","","","242","-1641019726","5932","6375","1511142","10369","4644","0.0","4788","6294","1","156","3536","sat_reverse-cp2025_big","16.02","28.457","0.793976","satisfy","","1026","1512191","1047","1340","44925883","0.0","1340","7","1141","0","0.59",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-04.dzn","UNKNOWN","303.80021469597705","","","968","","29789","","","","","","26508","29338","0","559","17822","sat_reverse-cp2025_big","","","2.29746","satisfy","","2592","","","","","","","","","0","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-03.dzn","ALL_SOLUTIONS","12.815694350050762","0","0","1210","","3272","","752","","","","945","4128","1","945","3025","sat_reverse-cp2025_big","","5.77563","0.865117","satisfy","","1973","","","","6515975","","15104","","","0","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","SATISFIED","0.8792780390940607","","","121","-1513278819","833","57","299011","912","0","0.0","482","650","1","74","812","sat_reverse-cp2025_big","0.42","0.011","0.253073","satisfy","","239","299256","243","0","2055","0.0","0","0","56","0","0.268",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-03.dzn","SATISFIED","16.564173752907664","","","1331","567659938","41021","10383","211142","73848","4453","0.0","36856","39816","1","766","24709","sat_reverse-cp2025_big","2.11","7.827","2.90474","satisfy","","3119","214302","3158","4901","54863445","0.0","4901","7","608","0","3.389",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","SATISFIED","7.295420991955325","","","605","-1997524619","19295","7455","225684","35056","3340","0.0","16914","19596","1","352","11312","sat_reverse-cp2025_big","4.75","2.27","1.59064","satisfy","","2045","227767","2081","3802","17243167","0.0","3802","0","312","0","1.924",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","UNKNOWN","305.5267012498807","","","2420","","79514","","","","","","72870","75793","0","1376","47855","sat_reverse-cp2025_big","","","4.92385","satisfy","","4532","","","","","","","","","0","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-03.dzn","SATISFIED","0.47586456988938153","","","","","40","0","","","","","84","102","1","102","","sat_reverse-cp2025_big","","0.1991","0.197441","satisfy","","99","","","","","","","","","0","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","10.453048194991425","","","1089","2094564270","35596","2830","126730","64518","1016","0.0","32026","34891","1","629","21152","sat_reverse-cp2025_big","36.04","2.073999","2.57628","satisfy","","2765","129535","2803","1091","25092206","0.0","1091","3","514","0","3.449",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","11.114286388969049","","","1089","1624129187","35596","3981","332758","64518","638","0.0","32026","34891","1","629","21152","sat_reverse-cp2025_big","36.04","2.731","2.48233","satisfy","","2765","335563","2803","2639","27316673","0.0","2639","5","513","0","3.49",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","SATISFIED","1.2925638798624277","","","242","2012010652","2913","1058","12971","4269","170","0.0","2078","2747","1","153","2181","sat_reverse-cp2025_big","0.19","0.106","0.499819","satisfy","","638","13616","643","770","1048038","0.0","770","0","117","0","0.262",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-04.dzn","UNKNOWN","303.2387958969921","","","968","","32038","","","","","","28728","31668","0","558","18932","sat_reverse-cp2025_big","","","2.45749","satisfy","","2640","","","","","","","","","0","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-06.dzn","SATISFIED","4.457997045945376","","","484","1805252488","13944","3006","191364","24943","630","0.0","11990","14204","1","292","8279","sat_reverse-cp2025_big","3.16","0.747","1.26758","satisfy","","1668","193067","1701","2009","6799297","0.0","2009","5","259","0","1.318",""
